231. 帅五平四 车5平7
232. 帅四平五 车7平5
233. 帅五平四 车5平7
234. 帅四平五 车7平5
235. 帅五平四 车5平7
236. 帅四平五 车7平5
237. 帅五平四 车5平7
238. 帅四平五 车7平5
239. 帅五平四 车5平7
240. 帅四平五 车7平5
241. 帅五平四 车5平7
242. 帅四平五 车7平5
243. 帅五平四 车5平7
244. 帅四平五 车7平5
245. 帅五平四 车5平7
246. 帅四平五 车7平5
247. 帅五平四 车5平7
248. 帅四平五 车7平5
249. 帅五平四 车5平7
250. 帅四平五 车7平5
251. 帅五平四 车5平7
252. 帅四平五 车7平5
253. 帅五平四 车5平7
254. 帅四平五 车7平5
255. 帅五平四 车5平7
256. 帅四平五 车7平5
257. 帅五平四 车5平7
